"Kod";"Nazwa";"styczeń;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"styczeń;kurczęta patroszone - za 1kg;cena;2018;[zł]";"styczeń;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"styczeń;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"styczeń;margaryna - za 400 g;cena;2018;[zł]";"styczeń;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"styczeń;ziemniaki - za 1 kg;cena;2018;[zł]";"styczeń;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"styczeń;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"styczeń;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"luty;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"luty;kurczęta patroszone - za 1kg;cena;2018;[zł]";"luty;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"luty;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"luty;margaryna - za 400 g;cena;2018;[zł]";"luty;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"luty;ziemniaki - za 1 kg;cena;2018;[zł]";"luty;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"luty;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"luty;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"marzec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"marzec;kurczęta patroszone - za 1kg;cena;2018;[zł]";"marzec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"marzec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"marzec;margaryna - za 400 g;cena;2018;[zł]";"marzec;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"marzec;ziemniaki - za 1 kg;cena;2018;[zł]";"marzec;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"marzec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"marzec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"kwiecień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"kwiecień;kurczęta patroszone - za 1kg;cena;2018;[zł]";"kwiecień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"kwiecień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"kwiecień;margaryna - za 400 g;cena;2018;[zł]";"kwiecień;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"kwiecień;ziemniaki - za 1 kg;cena;2018;[zł]";"kwiecień;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"kwiecień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"kwiecień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"maj;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"maj;kurczęta patroszone - za 1kg;cena;2018;[zł]";"maj;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"maj;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"maj;margaryna - za 400 g;cena;2018;[zł]";"maj;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"maj;ziemniaki - za 1 kg;cena;2018;[zł]";"maj;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"maj;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"maj;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"czerwiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"czerwiec;kurczęta patroszone - za 1kg;cena;2018;[zł]";"czerwiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"czerwiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"czerwiec;margaryna - za 400 g;cena;2018;[zł]";"czerwiec;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"czerwiec;ziemniaki - za 1 kg;cena;2018;[zł]";"czerwiec;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"czerwiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"czerwiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"lipiec;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"lipiec;kurczęta patroszone - za 1kg;cena;2018;[zł]";"lipiec;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"lipiec;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"lipiec;margaryna - za 400 g;cena;2018;[zł]";"lipiec;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"lipiec;ziemniaki - za 1 kg;cena;2018;[zł]";"lipiec;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"lipiec;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"lipiec;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"sierpień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"sierpień;kurczęta patroszone - za 1kg;cena;2018;[zł]";"sierpień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"sierpień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"sierpień;margaryna - za 400 g;cena;2018;[zł]";"sierpień;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"sierpień;ziemniaki - za 1 kg;cena;2018;[zł]";"sierpień;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"sierpień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"sierpień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"wrzesień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"wrzesień;kurczęta patroszone - za 1kg;cena;2018;[zł]";"wrzesień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"wrzesień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"wrzesień;margaryna - za 400 g;cena;2018;[zł]";"wrzesień;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"wrzesień;ziemniaki - za 1 kg;cena;2018;[zł]";"wrzesień;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"wrzesień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"wrzesień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"październik;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"październik;kurczęta patroszone - za 1kg;cena;2018;[zł]";"październik;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"październik;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"październik;margaryna - za 400 g;cena;2018;[zł]";"październik;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"październik;ziemniaki - za 1 kg;cena;2018;[zł]";"październik;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"październik;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"październik;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"listopad;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"listopad;kurczęta patroszone - za 1kg;cena;2018;[zł]";"listopad;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"listopad;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"listopad;margaryna - za 400 g;cena;2018;[zł]";"listopad;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"listopad;ziemniaki - za 1 kg;cena;2018;[zł]";"listopad;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"listopad;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"listopad;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";"grudzień;mięso wołowe bez kości (z udźca) - za 1 kg;cena;2018;[zł]";"grudzień;kurczęta patroszone - za 1kg;cena;2018;[zł]";"grudzień;mleko krowie spożywcze o zawartości tłuszczu 2-2,5% - za 1l;cena;2018;[zł]";"grudzień;masło świeże o zawartości tłuszczu ok. 82,5% - za 200 g;cena;2018;[zł]";"grudzień;margaryna - za 400 g;cena;2018;[zł]";"grudzień;olej rzepakowy produkcji krajowej - za 1l;cena;2018;[zł]";"grudzień;ziemniaki - za 1 kg;cena;2018;[zł]";"grudzień;spodnie (6-11 lat) z tkaniny typu jeans (2);cena;2018;[zł]";"grudzień;półbuty męskie skórzane na podeszwie nieskórzanej - za 1parę;cena;2018;[zł]";"grudzień;zimna woda z miejskiej sieci wodociągowej - za 1m3;cena;2018;[zł]";
0000000;"POLSKA";33,69;7,12;2,49;6,35;3,80;6,06;1,13;66,93;201,79;3,93;33,72;7,16;2,48;5,95;3,71;6,06;1,15;68,02;201,72;3,93;33,50;7,32;2,45;5,91;3,73;6,10;1,15;70,20;202,14;3,93;33,89;7,26;2,48;5,91;3,77;6,13;1,19;71,00;203,18;3,93;33,50;7,13;2,47;5,99;3,82;6,10;1,36;69,93;201,84;3,93;33,41;7,46;2,47;6,47;3,75;6,11;1,72;66,57;202,75;3,95;33,53;7,57;2,49;6,64;3,86;6,04;1,44;63,99;201,21;3,97;33,61;7,59;2,50;6,66;3,82;6,04;1,38;65,57;201,22;3,97;33,92;7,68;2,52;6,63;3,78;6,01;1,37;69,14;204,68;3,98;33,80;7,24;2,50;6,68;3,76;6,08;1,38;69,02;207,25;3,98;33,57;7,14;2,51;6,60;3,75;6,01;1,43;69,00;206,82;3,98;33,79;6,92;2,50;6,54;3,59;5,95;1,59;66,78;206,43;3,98;
0200000;"DOLNOŚLĄSKIE";35,05;6,92;2,67;6,16;3,87;6,27;1,27;69,48;200,29;4,72;36,82;7,14;2,65;5,53;3,76;6,42;1,13;68,30;200,99;4,72;36,90;7,19;2,56;6,17;3,76;6,32;1,24;66,87;200,99;4,72;37,06;7,07;2,62;5,99;3,86;6,35;1,25;68,22;201,23;4,72;35,95;7,11;2,67;6,26;3,98;6,39;1,37;65,34;199,23;4,72;36,27;7,51;2,68;6,78;3,97;6,34;1,78;59,89;199,46;4,82;36,16;7,79;2,68;6,88;4,01;6,12;1,60;55,38;194,76;4,82;36,93;7,72;2,60;6,84;3,97;6,30;1,48;55,18;194,99;4,83;36,65;7,89;2,69;6,84;3,86;6,22;1,47;54,09;196,17;4,83;36,39;7,43;2,69;7,01;3,94;6,19;1,50;57,62;218,11;4,83;36,74;7,29;2,66;6,88;3,80;6,16;1,49;58,39;210,49;4,83;36,82;6,94;2,71;6,51;3,74;6,02;1,70;57,09;211,67;4,83;
0400000;"KUJAWSKO-POMORSKIE";36,29;7,18;2,47;6,77;3,59;5,54;1,07;63,98;202,30;3,42;36,67;7,23;2,45;6,26;3,54;5,86;1,07;63,98;202,30;3,42;37,24;7,12;2,44;6,19;3,52;5,89;1,05;70,13;196,57;3,42;36,35;7,36;2,47;6,39;3,53;5,89;1,06;71,98;196,80;3,42;35,87;7,27;2,43;6,46;3,61;5,90;1,29;71,98;196,80;3,42;36,33;7,63;2,46;6,61;3,45;5,93;1,68;68,63;196,80;3,46;37,02;7,73;2,45;7,00;3,61;5,80;1,39;64,79;204,92;3,46;37,02;7,77;2,50;6,86;3,57;5,59;1,34;68,00;204,92;3,46;37,87;7,76;2,50;6,93;3,61;5,93;1,32;71,71;206,46;3,46;37,90;7,41;2,44;7,00;3,42;5,83;1,34;75,20;206,46;3,46;37,90;7,14;2,50;6,85;3,55;5,87;1,35;73,51;207,23;3,46;37,52;6,95;2,47;6,87;3,45;5,76;1,45;73,29;207,23;3,46;
0600000;"LUBELSKIE";30,29;6,80;2,52;6,43;3,48;6,29;1,09;75,46;223,99;3,14;30,55;7,02;2,53;6,08;3,44;6,03;1,22;73,79;223,16;3,14;30,55;7,30;2,45;5,91;3,40;6,18;1,22;77,96;222,32;3,14;31,98;6,75;2,54;5,85;3,50;6,45;1,22;77,07;222,32;3,15;31,98;6,95;2,58;6,11;3,60;6,44;1,16;76,18;222,32;3,15;31,30;7,32;2,48;6,27;3,66;6,33;1,82;77,79;222,32;3,15;30,39;7,46;2,60;6,42;3,59;6,43;1,58;77,37;222,32;3,12;30,97;7,41;2,58;6,52;3,50;6,31;1,42;76,74;222,32;3,12;31,05;7,62;2,58;6,21;3,50;6,04;1,35;80,07;223,99;3,12;30,89;7,09;2,57;6,47;3,61;6,28;1,48;77,58;223,99;3,10;30,93;7,02;2,57;6,53;3,55;6,19;1,38;79,25;223,99;3,10;30,93;7,24;2,59;6,47;3,36;6,26;1,54;79,91;227,24;3,10;
0800000;"LUBUSKIE";33,93;7,23;2,42;6,06;4,08;6,10;1,09;64,31;224,55;4,54;33,15;7,03;2,48;5,94;3,94;6,12;1,12;76,98;221,22;4,54;33,81;7,15;2,45;5,71;3,99;6,20;1,09;82,53;216,77;4,54;34,37;7,47;2,41;5,30;3,92;6,21;1,12;78,52;216,77;4,54;34,99;7,20;2,46;5,36;3,97;6,06;1,17;77,30;206,89;4,54;33,10;7,36;2,39;5,63;3,73;6,11;1,45;73,74;214,55;4,60;31,86;7,48;2,45;6,26;3,84;5,70;1,29;68,44;204,01;4,62;33,52;7,90;2,46;6,23;3,83;5,57;1,44;66,97;207,54;4,63;33,85;7,93;2,39;6,26;3,98;5,73;1,32;82,06;214,98;4,63;33,47;7,41;2,42;6,50;3,73;5,76;1,35;83,73;219,00;4,63;32,71;7,49;2,41;6,50;3,71;5,76;1,38;87,06;214,77;4,63;35,04;7,39;2,44;6,34;3,70;6,00;1,54;77,73;209,55;4,63;
1000000;"ŁÓDZKIE";34,06;7,07;2,42;6,34;3,47;6,06;0,98;54,10;221,35;3,70;33,10;7,04;2,38;5,94;3,38;6,01;1,00;59,10;214,21;3,70;32,86;7,25;2,41;5,91;3,33;6,10;1,03;59,10;214,28;3,70;33,75;7,13;2,35;5,95;3,34;6,18;1,05;60,53;221,42;3,70;32,41;6,91;2,33;5,93;3,40;6,12;1,06;60,35;222,13;3,70;33,84;7,39;2,38;6,52;3,43;6,18;1,45;58,46;217,13;3,77;33,65;7,50;2,43;6,71;3,59;5,96;1,36;57,53;217,85;3,80;32,72;7,44;2,51;6,66;3,58;5,92;1,26;65,36;210,71;3,80;33,14;7,43;2,52;6,67;3,46;5,95;1,31;64,82;223,99;3,80;33,10;6,97;2,45;6,73;3,19;6,09;1,29;61,96;223,99;3,80;33,47;7,04;2,50;6,65;3,39;6,07;1,30;64,10;223,99;3,80;33,97;6,58;2,43;6,55;3,16;5,88;1,37;61,25;227,92;3,80;
1200000;"MAŁOPOLSKIE";29,06;7,41;2,68;5,86;3,87;6,38;1,02;70,89;221,37;4,24;29,42;7,37;2,63;5,17;3,72;6,35;1,06;69,27;219,84;4,24;29,45;7,49;2,53;5,60;3,52;6,40;1,07;70,81;219,84;4,24;29,45;7,41;2,60;5,43;3,85;6,35;1,13;71,66;219,84;4,24;29,26;7,30;2,63;5,86;3,75;6,32;1,13;71,66;219,84;4,24;29,52;7,55;2,60;6,51;3,76;6,41;1,93;72,88;219,84;4,29;29,30;7,85;2,60;6,71;3,72;6,18;1,11;71,88;207,50;4,29;29,68;7,88;2,63;6,56;3,54;6,41;1,21;72,43;205,27;4,35;29,07;7,89;2,69;6,58;3,42;6,32;1,25;73,20;226,07;4,35;29,07;7,57;2,70;6,74;3,52;6,36;1,32;71,74;222,22;4,35;29,07;7,44;2,70;6,56;3,53;6,33;1,38;69,50;218,70;4,35;29,31;6,79;2,70;6,18;3,40;6,29;1,64;65,83;223,76;4,35;
1400000;"MAZOWIECKIE";31,58;7,47;2,57;6,43;4,25;6,28;1,17;71,55;210,75;3,71;31,11;7,49;2,58;6,34;4,08;6,19;1,22;76,47;211,17;3,71;31,10;7,69;2,49;6,00;4,14;6,34;1,20;79,93;211,56;3,71;31,21;7,45;2,56;6,08;4,03;6,20;1,29;79,43;211,13;3,71;31,37;7,43;2,49;5,95;4,11;6,26;1,68;76,76;211,38;3,71;31,33;7,73;2,51;6,58;3,92;6,35;1,73;76,37;215,13;3,55;31,21;7,87;2,56;6,67;4,21;6,20;1,58;71,60;215,11;3,58;31,46;7,92;2,56;6,72;4,11;6,40;1,48;71,60;216,78;3,58;31,76;7,99;2,61;6,57;4,07;6,21;1,45;74,76;216,62;3,59;31,85;7,36;2,62;6,56;4,12;6,24;1,44;76,63;215,83;3,59;31,51;7,35;2,60;6,56;4,03;6,15;1,50;76,32;216,72;3,59;31,33;7,33;2,60;6,61;3,69;6,29;1,70;77,57;217,83;3,59;
1600000;"OPOLSKIE";33,91;6,65;2,18;6,02;4,03;6,11;1,17;55,84;179,14;3,88;34,19;6,68;2,14;5,91;3,86;6,18;1,12;65,84;180,57;3,88;33,91;6,99;2,20;5,85;3,64;5,94;1,13;70,12;184,71;3,88;33,91;6,94;2,21;5,70;3,86;6,26;1,18;75,15;184,71;3,88;32,75;6,67;2,08;5,62;3,95;6,25;1,19;70,41;181,85;3,88;32,75;6,92;2,06;6,51;3,61;5,90;1,72;57,27;181,85;3,94;34,05;7,15;2,21;6,30;3,90;5,85;1,56;50,84;186,14;4,00;34,05;7,25;2,19;6,26;4,12;6,25;1,40;62,98;186,14;4,00;34,05;7,24;2,19;6,70;3,59;6,02;1,42;77,25;186,14;4,00;34,05;7,07;2,22;6,36;3,96;6,25;1,34;72,66;190,42;4,00;34,05;6,82;2,19;6,28;3,96;5,85;1,41;77,55;188,99;4,00;33,61;6,50;2,25;6,38;3,33;6,12;1,55;70,55;188,99;4,00;
1800000;"PODKARPACKIE";30,66;7,18;2,72;6,25;4,71;6,30;1,10;78,02;179,24;4,06;30,66;7,26;2,73;5,95;4,52;6,37;1,12;83,10;179,24;4,06;29,32;7,37;2,73;6,01;4,65;6,43;1,12;83,93;182,57;4,06;29,97;7,23;2,70;6,03;4,64;6,39;1,14;79,26;182,57;4,06;29,70;7,17;2,65;5,89;4,86;6,35;1,62;77,43;182,57;4,06;29,49;7,37;2,72;6,35;4,85;6,49;1,88;76,27;182,57;4,13;30,32;7,45;2,71;6,45;4,86;6,45;1,39;74,60;182,57;4,16;31,50;7,47;2,71;6,51;4,82;6,37;1,18;74,60;185,07;4,16;30,83;7,52;2,70;6,51;4,90;6,38;1,19;78,78;183,41;4,16;30,93;7,57;2,72;6,57;4,77;6,44;1,24;74,47;183,49;4,16;31,58;7,22;2,71;6,52;4,88;6,39;1,29;71,52;189,73;4,20;31,95;6,84;2,65;6,68;4,88;6,15;1,46;70,52;181,82;4,20;
2000000;"PODLASKIE";33,89;6,78;2,37;6,81;4,25;5,78;1,06;64,69;191,59;3,28;33,84;6,73;2,35;5,96;3,96;5,83;1,09;64,63;191,59;3,28;33,74;6,94;2,39;5,74;4,11;5,66;1,16;64,85;190,59;3,28;33,61;6,85;2,32;5,73;4,17;5,82;1,23;70,14;190,59;3,28;33,51;6,64;2,35;5,98;4,21;5,90;1,27;70,14;190,59;3,28;33,66;6,86;2,34;6,45;4,23;5,67;1,71;70,14;190,59;3,34;33,94;6,82;2,34;6,57;4,35;5,66;1,69;70,14;184,10;3,34;33,71;6,86;2,39;6,94;4,27;5,83;1,56;70,14;184,10;3,34;33,71;7,31;2,40;6,71;4,23;5,74;1,46;70,14;198,58;3,34;33,04;6,32;2,39;6,56;4,14;5,83;1,44;70,24;198,58;3,34;32,53;6,44;2,36;6,65;4,17;5,75;1,48;70,64;198,58;3,34;33,42;6,35;2,32;6,50;4,02;5,61;1,62;70,64;199,18;3,34;
2200000;"POMORSKIE";38,46;7,85;2,34;6,64;3,85;5,96;1,34;64,00;192,37;3,35;38,72;7,60;2,36;6,07;3,71;6,00;1,37;59,00;195,44;3,35;37,16;7,60;2,40;5,81;3,94;6,14;1,35;59,83;200,14;3,35;38,54;7,90;2,41;6,16;4,06;6,10;1,46;63,91;209,37;3,35;38,69;7,72;2,36;5,94;4,06;5,92;1,75;63,91;205,15;3,31;38,16;8,14;2,41;6,51;3,88;6,01;2,00;57,91;205,15;3,34;38,83;7,97;2,40;6,74;4,13;6,21;1,64;57,91;205,15;3,33;37,31;8,30;2,48;6,64;4,17;6,12;1,57;59,75;205,15;3,33;37,62;8,12;2,51;6,75;4,14;6,14;1,55;57,50;205,92;3,33;37,83;7,32;2,34;6,71;4,07;6,23;1,41;57,50;210,14;3,34;37,70;7,45;2,43;6,48;3,92;5,98;1,73;53,66;210,22;3,34;37,73;7,00;2,41;6,72;3,97;6,00;1,80;51,38;210,22;3,34;
2400000;"ŚLĄSKIE";33,25;6,85;2,52;6,39;3,82;5,79;0,99;56,35;182,92;5,19;32,47;7,04;2,47;5,51;3,75;5,70;1,00;56,64;182,92;5,19;31,90;7,36;2,43;5,55;3,94;5,79;1,07;60,25;183,42;5,19;32,42;7,20;2,53;5,74;3,93;5,86;1,08;60,95;183,42;5,19;32,06;7,19;2,57;5,84;3,94;5,71;1,09;60,95;182,17;5,19;31,82;7,21;2,49;6,39;3,87;5,93;1,35;59,70;181,54;5,22;32,06;7,23;2,56;6,52;4,02;5,76;1,21;55,72;181,54;5,24;32,19;7,22;2,53;6,54;4,13;5,75;1,20;55,30;181,54;5,27;33,13;7,16;2,57;6,53;4,07;5,81;1,19;56,90;181,54;5,27;31,88;7,18;2,54;6,49;4,03;5,78;1,21;58,14;184,60;5,27;32,30;6,99;2,57;6,42;4,02;5,73;1,27;60,58;184,92;5,28;31,33;6,92;2,56;6,45;3,58;5,28;1,44;59,02;184,92;5,28;
2600000;"ŚWIĘTOKRZYSKIE";30,86;6,83;2,50;6,52;3,50;5,38;1,06;76,65;199,65;4,02;31,11;6,83;2,50;6,18;3,50;5,47;1,09;69,48;202,98;4,02;30,45;6,95;2,50;6,53;3,64;5,59;1,08;68,40;202,98;4,02;31,61;6,95;2,44;6,34;3,78;5,33;1,07;76,15;202,98;4,02;31,61;6,78;2,46;6,34;3,92;5,22;1,56;76,15;202,98;4,02;30,28;7,10;2,46;6,74;3,79;5,69;1,43;64,48;202,98;4,06;30,28;6,90;2,44;6,58;3,90;5,58;1,44;65,98;192,03;4,06;31,78;6,65;2,44;6,39;3,51;5,41;1,27;64,31;192,03;4,06;31,78;7,26;2,48;6,32;3,53;5,69;1,33;80,15;192,03;4,08;30,86;6,41;2,48;6,43;3,67;5,54;1,33;70,98;202,98;4,09;30,45;6,70;2,48;6,58;3,83;5,33;1,31;68,48;202,98;4,09;29,80;6,48;2,40;6,23;3,66;5,35;1,55;67,24;202,98;4,09;
2800000;"WARMIŃSKO-MAZURSKIE";32,86;6,91;2,51;6,18;3,37;6,03;1,22;85,87;196,36;3,29;33,46;7,01;2,54;6,07;3,60;6,03;1,27;85,96;196,36;3,29;32,76;7,23;2,42;6,14;3,53;5,93;1,32;88,08;196,36;3,29;32,76;7,18;2,57;6,14;3,50;6,14;1,27;90,20;196,36;3,29;31,56;6,76;2,50;6,30;3,42;6,05;1,59;85,71;195,67;3,29;31,57;7,34;2,57;6,67;3,44;5,89;1,94;71,31;196,76;3,29;32,63;7,64;2,57;6,95;3,53;6,11;1,63;68,31;196,76;3,39;30,22;7,52;2,53;6,81;3,58;6,01;1,59;70,92;195,96;3,39;32,33;7,64;2,57;6,80;3,56;5,52;1,55;85,91;199,96;3,39;32,62;7,31;2,59;6,95;3,40;6,00;1,53;85,82;199,96;3,40;29,45;6,92;2,59;6,58;3,56;6,05;1,58;83,82;199,96;3,40;31,81;6,74;2,57;6,59;3,51;6,05;1,66;75,81;194,97;3,40;
3000000;"WIELKOPOLSKIE";36,40;6,95;2,23;6,48;3,43;6,22;1,09;67,50;190,89;3,84;36,09;7,07;2,32;6,16;3,34;6,12;1,15;66,94;192,01;3,84;36,57;7,41;2,32;5,83;3,36;6,14;1,09;69,27;189,62;3,87;37,02;7,37;2,30;5,56;3,34;6,24;1,11;68,80;189,62;3,87;36,14;7,07;2,29;5,77;3,35;6,18;1,12;68,89;189,78;3,87;36,28;7,67;2,30;6,27;3,33;6,15;1,53;66,68;191,52;3,88;36,58;7,64;2,29;6,32;3,40;6,11;1,21;63,84;191,52;3,92;36,93;7,62;2,25;6,56;3,29;6,07;1,19;64,05;191,52;3,92;36,92;7,77;2,25;6,42;3,31;6,00;1,26;67,21;190,47;3,92;37,44;7,31;2,27;6,49;3,33;6,07;1,29;71,33;190,13;3,92;36,49;7,24;2,27;6,62;3,29;6,17;1,33;70,76;190,68;3,92;36,57;6,92;2,26;6,48;3,16;6,02;1,50;67,05;186,37;3,92;
3200000;"ZACHODNIOPOMORSKIE";36,75;7,22;2,50;6,18;3,16;5,87;1,32;54,70;204,46;4,07;36,75;7,26;2,48;6,02;3,18;5,93;1,31;52,08;206,87;4,05;36,28;7,34;2,42;5,77;3,04;5,87;1,18;53,96;216,07;4,05;36,59;7,34;2,48;6,21;3,08;5,75;1,38;53,96;216,07;4,05;36,59;7,05;2,46;6,24;3,14;5,89;1,58;54,73;210,31;4,05;35,87;7,33;2,42;6,60;3,14;5,77;2,15;49,19;215,15;4,05;35,70;7,66;2,42;6,88;3,01;5,88;1,55;48,42;215,15;4,06;35,59;7,51;2,50;7,05;3,09;5,69;1,56;53,19;217,77;4,09;36,73;7,63;2,43;7,15;3,15;5,89;1,52;54,11;216,69;4,09;36,65;7,24;2,40;7,20;3,17;5,88;1,48;49,46;216,69;4,09;36,63;6,99;2,47;6,72;3,05;5,67;1,65;50,23;217,46;4,09;37,10;6,96;2,34;6,73;3,03;5,63;1,84;49,15;215,92;4,09;
